num_aval_f,num_aval_grad,tempo
4.0,3.0,0.061390040999981466
-451088.0,-20001.0,-150.36943449899996
996.0,163.0,0.047473695000007865
92.0,83.0,0.009450786000002154
92.0,65.0,0.2988082730000201
1595.0,743.0,1.8722242090000236
4935.0,963.0,602.569253402
123.0,45.0,0.08938547900004323
6772.0,2559.0,303.4637032019999
-119018.0,-20001.0,-5.7087534899999355
10774.0,8955.0,0.22177729900022314
38.0,25.0,0.0009903129998747318
1604.0,1385.0,0.14866272199992636
190.0,167.0,0.048081832999969265
190.0,165.0,0.049663013999861505
209.0,209.0,2.8422457270000905
1492.0,503.0,1.6640176920000158
792.0,129.0,0.9855924070000128
134.0,97.0,0.10682789900010903
127.0,67.0,0.023423853999929634
122.0,81.0,0.02374481500010006
-132635.0,-20001.0,-438.54812418100005
-276030.0,-20001.0,-1307.0627770280003
1031.0,259.0,0.09916914899986295
86.0,67.0,0.009634774000005564
76.0,67.0,0.009187964999910037
161.0,29.0,0.005081973999949696
-268650.0,-20001.0,-4.945319290000043
84.0,35.0,0.00489672799994878
198.0,95.0,0.005765549999978248
