,val_calls,grad_calls,tempo
ROSENBR,312.0,76.0,0.003816999000036958
STRTCHDV,151.0,62.0,0.0029354570000350577
TESTQUAD,79988.0,21695.0,0.6187412179999683
THURBERLS,-349434.0,-100002.0,0.0
TRIGON1,203.0,79.0,0.0017233639999858497
TOINTGOR,667.0,227.0,0.006819390000032399
